"Country","City/Town","Address/Location","Latitude","Longitude","Coordinates","Location Type","ID #","Incident Reporting Date","Incident Start Date","Incident End Date","Trafficking Type","Trafficking Sub-Type","Recruitment Method","Control Method","Transportation Method","Trafficker Nationality","Trafficker Gender","Trafficker Age","Victim Nationality","Victim Gender","Victim Age","Incident Summary","URL Source Article","Info Source","BoI Name","BOI Type","BoI Location","BoI Open Hours","Data Provider","Data Source"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a908000","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.nugget.ca/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a908001","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.midnorthmonitor.com/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a907ffe","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.saultstar.com/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"United States","","","","","32.36681,-86.29997","Unknown","60039e1e793245300361f666","","","","Child Sexual Exploitation","Illicit Activities","","Minor","","","","","","","","","https://www.monroenews.com/opinion/20210115/bozelko-column-trump-threw-away-his-legacy-on-human-trafficking","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a908006","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.timminstimes.com/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a907ffd","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.elliotlakestandard.ca/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"South Africa","","","","","-29,24","Target","60038d4a8fcafbaf2a908007","","","","Child Labour","Servitude","","Forced","","","","","","","","","https://reliefweb.int/report/world/2021-international-year-elimination-child-labour","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a907fff","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.thesudburystar.com/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"United States","","","","","32.75041,-86.75026","Unknown","60039e1e793245300361f65a","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.cbs42.com/news/the-wellhouse-in-birmingham-speaks-out-on-human-trafficking-prevention-month/","Internet/URL","","","","","","tah"
"United States","","","","","33.52066,-86.80249","Arrest","60039e1e793245300361f65a","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.cbs42.com/news/the-wellhouse-in-birmingham-speaks-out-on-human-trafficking-prevention-month/","Internet/URL","","","","","","tah"
"United States","","","","","29.52749,-95.77089","Unknown","60039e1e793245300361f66b","","","","Child Trafficking","Illicit Activities","","Minor","CAR","","","","","","","","https://communityimpact.com/houston/katy/public-safety/2021/01/15/new-sheriff-human-trafficking-is-another-pandemic-facing-fort-bend-county/","Internet/URL","","","","","","tah"
"United States","","","","","31.00047,-92.0004","Source","60039e1e793245300361f66c","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.kalb.com/2021/01/15/safe-central-how-child-traffickers-use-social-media-lsp-urges-parents-to-monitor-their-kids-online/","Internet/URL","","","","","","tah"
"United States","","","","","44.50024,-90.00041","Source","60039e1e793245300361f649","","","","Child Trafficking","Sexual Servitude","","Minor","CAR","","","","","","","","https://cbs3duluth.com/2021/01/14/it-could-happen-to-you-superior-teen-raising-awareness-about-human-trafficking-through-fundraiser/","Internet/URL","","","","","","tah"
"Egypt","","","","","30.06263,31.24967","Unknown","60038d4a8fcafbaf2a90800a","","","","Child Sexual Exploitation","Arts and Entertainment","","Minor","CAR","","","","","","","","https://www.outlookindia.com/website/story/world-news-tiktok-trouble-2-young-egyptian-women-to-stand-new-trial-over-human-trafficking-charges/370612","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a908003","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.cochranetimespost.ca/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"China","","","","","35,105","Source","60039e1e793245300361f65c","","","","Child Trafficking","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","http://www.asianews.it/news-en/Vietnamese-Church-committed-to-fighting-human-trafficking-52078.html","Internet/URL","","","","","","tah"
"Laos","","","","","18,105","Target","60039e1e793245300361f65c","","","","Child Trafficking","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","http://www.asianews.it/news-en/Vietnamese-Church-committed-to-fighting-human-trafficking-52078.html","Internet/URL","","","","","","tah"
"Cambodia","","","","","13,105","Unknown","60039e1e793245300361f65c","","","","Child Trafficking","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","http://www.asianews.it/news-en/Vietnamese-Church-committed-to-fighting-human-trafficking-52078.html","Internet/URL","","","","","","tah"
"Vietnam","","","","","10.82327,106.62978","Arrest","60039e1e793245300361f65c","","","","Child Trafficking","Prostitution/Brothel/Escort Agency","","Forced","","","","","","","","","http://www.asianews.it/news-en/Vietnamese-Church-committed-to-fighting-human-trafficking-52078.html","Internet/URL","","","","","","tah"
"United States","","","","","37.77099,-122.26087","Unknown","60039e1e793245300361f644","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://www.craftbrewingbusiness.com/featured/watch-this-awareness-video-on-human-trafficking-from-beer-wholesaler-markstein-sales-will-move-you-to-action/","Internet/URL","","","","","","tah"
"United States","","","","","35.75035,-86.25027","Unknown","60039e1e793245300361f645","","","","Sexual Exploitation","Sexual Servitude","","Forced","","","","","","","","","https://www.localmemphis.com/article/news/local/restore-corps-teams-up-with-sogiv-to-raise-awareness-in-the-fight-against-human-trafficking/522-e870891f-e5c7-4681-a35a-a3e56a965dba","Internet/URL","","","","","","tah"
"United States","","","","","43.02172,-87.92908","Arrest","60039e1e793245300361f65e","","","","Child Trafficking","","","Minor","AIRPORT","","","","","","","","https://www.fox6now.com/news/mitchell-intl-airport-unveils-campaign-to-end-human-trafficking","Internet/URL","","","","","","tah"
"Canada","","","","","49.25014,-84.49983","Unknown","60038d4a8fcafbaf2a908005","","","","Sexual Exploitation","Personal Sexual Servitude","","Minor","","","","","","","","","https://www.northernnews.ca/news/program-launched-for-human-trafficking-survivors/wcm/8dac6808-e0cc-41a9-8c02-118fb3a7ff82","Internet/URL","","","","","","tah"
"Cameroon","","","","","3.86667,11.51667","Unknown","60038d4a8fcafbaf2a907fed","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://www.cameroononline.org/4-babies-rescued-in-cameroon-child-trafficking-bust/","Internet/URL","","","","","","tah"
"United States","","","","","40.25034,-83.00018","Arrest","60039e1e793245300361f64b","","","","Sexual Exploitation","Sexual Servitude","","Minor","","","","","","","","","https://www.wytv.com/news/local-news/ohios-ag-thanks-law-enforcement-for-hard-work-in-helping-end-human-trafficking/","Internet/URL","","","","","","tah"
"Fiji","","","","","-18,178","Unknown","60039e1e793245300361f64f","","","","Child Trafficking","","","Minor","","","","","","","","","https://www.fijitimes.com/fiji-hub-for-human-trafficking-in-the-pacific/","Internet/URL","","","","","","tah"
"Sudan","","","","","16,30","Source","60038d4a8fcafbaf2a907ff3","","","","Child Trafficking","","","Minor","","","","","","","","","https://www.reuters.com/article/us-ethiopia-conflict-refugees/lone-ethiopian-child-refugees-seen-at-risk-of-exploitation-in-sudan-iduskbn29k262","Internet/URL","","","","","","tah"
"Ethiopia","","","","","9,39.5","Transit","60038d4a8fcafbaf2a907ff3","","","","Child Trafficking","","","Minor","","","","","","","","","https://www.reuters.com/article/us-ethiopia-conflict-refugees/lone-ethiopian-child-refugees-seen-at-risk-of-exploitation-in-sudan-iduskbn29k262","Internet/URL","","","","","","tah"
